,0.0028,0.0071,0.0106,0.021,0.022
Q m3/s,5.668753294048218,42.266159921512404,120.63737276085816,227.27256553918676,155.97255724474311
head loss,0.1912710363567919,0.08580538651894411,0.07780799127057651,0.25566672934625195,0.16494627699758188
Pump Power,0.011222004800949245,0.037588307626897195,0.0966657432266489,0.5793068058527403,0.2581878530718134
cost (peak),0.08192063504692948,0.2743946456763496,0.705659925554537,4.228939682725004,1.884771327424238
cost (off-peak),0.0655365080375436,0.21951571654107963,0.5645279404436296,3.383151746180004,1.5078170619393902
"cost (peak, normalized)",0.01374739468328995,0.006175860654490577,0.005564526714694843,0.017701053886502945,0.011495427359533298
"cost (off-peak, normalized)",0.0054989578733159825,0.0024703442617962307,0.0022258106858779377,0.007080421554601179,0.004598170943813319
