run no,volume (mL),time (s),cyl size,flow,dV,dt
42,40.7,0.72,small,fast,1,0.5
43,33.2,0.36,small,fast,1,0.5
44,45.9,0.50,small,fast,1,0.5
45,40.7,0.39,small,fast,1,0.5
46,37.6,0.43,small,fast,1,0.5
47,41.6,0.55,small,fast,1,0.5
48,36.5,0.39,small,fast,1,0.5
49,49.1,0.43,small,fast,1,0.5
50,43.5,0.40,small,fast,1,0.5
1,46.0,0.68,small,slow,1,0.5
2,42.0,0.61,small,slow,1,0.5
3,33.5,0.46,small,slow,1,0.5
4,27.0,0.40,small,slow,1,0.5
5,35.9,0.59,small,slow,1,0.5
6,34.8,0.53,small,slow,1,0.5
7,44.2,0.73,small,slow,1,0.5
8,43.9,0.86,small,slow,1,0.5
9,48.5,0.91,small,slow,1,0.5
10,44.9,0.66,small,slow,1,0.5
11,34.5,0.60,small,slow,1,0.5
12,35.5,0.80,small,slow,1,0.5
13,30.0,0.53,small,slow,1,0.5
14,29.2,0.47,small,slow,1,0.5
15,26.8,0.53,small,slow,1,0.5
16,22.8,0.27,small,slow,1,0.5
17,31.0,0.59,small,slow,1,0.5
18,24.0,0.47,small,slow,1,0.5
19,24.9,0.46,small,slow,1,0.5
20,32.5,0.53,small,slow,1,0.5
21,28.0,0.52,small,slow,1,0.5
22,34.0,0.40,small,slow,1,0.5
23,37.0,0.72,small,slow,1,0.5
24,32.3,0.66,small,slow,1,0.5
25,32.8,0.59,small,slow,1,0.5
26,39.7,0.79,small,slow,1,0.5
27,28.0,0.54,small,slow,1,0.5
28,34.9,0.53,small,slow,1,0.5
29,26.9,0.59,small,slow,1,0.5
30,31.2,0.47,small,slow,1,0.5
31,30.8,0.46,small,slow,1,0.5
32,34.0,0.47,small,slow,1,0.5
33,33.8,0.53,small,slow,1,0.5
34,41.0,0.53,small,slow,1,0.5
35,23.5,0.46,small,slow,1,0.5
36,23.0,0.42,small,slow,1,0.5
37,22.8,0.40,small,slow,1,0.5
38,49.2,0.80,small,slow,1,0.5
39,49.5,0.78,small,slow,1,0.5
40,43.0,0.68,small,slow,1,0.5
41,50.0,0.75,small,slow,1,0.5
42,45.5,0.69,small,slow,1,0.5
43,34.9,0.50,small,slow,1,0.5
44,40.8,0.62,small,slow,1,0.5
45,48.2,0.71,small,slow,1,0.5
46,45.5,0.60,small,slow,1,0.5
47,36.0,0.49,small,slow,1,0.5
48,47.2,0.75,small,slow,1,0.5
49,40.5,0.60,small,slow,1,0.5
50,35.8,0.53,small,slow,1,0.5
